nombre,provincia_nombre,pais,lugar_osm 
Los Pinos,Buenos Aires,Argentina,"Los Pinos, Buenos Aires, Argentina"
Napaleofú,Buenos Aires,Argentina,"Napaleofú, Buenos Aires, Argentina"
Ramos Otero,Buenos Aires,Argentina,"Ramos Otero, Buenos Aires, Argentina"
San Agustín,Buenos Aires,Argentina,"San Agustín, Buenos Aires, Argentina"
Villa Laguna La Brava,Buenos Aires,Argentina,"Villa Laguna La Brava, Buenos Aires, Argentina"
Baradero,Buenos Aires,Argentina,"Baradero, Buenos Aires, Argentina"
Irineo Portela,Buenos Aires,Argentina,"Irineo Portela, Buenos Aires, Argentina"
Santa Coloma,Buenos Aires,Argentina,"Santa Coloma, Buenos Aires, Argentina"
Villa Alsina,Buenos Aires,Argentina,"Villa Alsina, Buenos Aires, Argentina"
Arrecifes,Buenos Aires,Argentina,"Arrecifes, Buenos Aires, Argentina"
Todd,Buenos Aires,Argentina,"Todd, Buenos Aires, Argentina"
Viña,Buenos Aires,Argentina,"Viña, Buenos Aires, Argentina"
Barker,Buenos Aires,Argentina,"Barker, Buenos Aires, Argentina"
Benito Juárez,Buenos Aires,Argentina,"Benito Juárez, Buenos Aires, Argentina"
López,Buenos Aires,Argentina,"López, Buenos Aires, Argentina"
Tedín Uriburu,Buenos Aires,Argentina,"Tedín Uriburu, Buenos Aires, Argentina"
Villa Cacique,Buenos Aires,Argentina,"Villa Cacique, Buenos Aires, Argentina"
Berazategui,Buenos Aires,Argentina,"Berazategui, Buenos Aires, Argentina"
Berisso,Buenos Aires,Argentina,"Berisso, Buenos Aires, Argentina"
Hale,Buenos Aires,Argentina,"Hale, Buenos Aires, Argentina"
Juan F. Ibarra,Buenos Aires,Argentina,"Juan F. Ibarra, Buenos Aires, Argentina"
Paula,Buenos Aires,Argentina,"Paula, Buenos Aires, Argentina"
Pirovano,Buenos Aires,Argentina,"Pirovano, Buenos Aires, Argentina"
San Carlos de Bolívar,Buenos Aires,Argentina,"San Carlos de Bolívar, Buenos Aires, Argentina"
Urdampilleta,Buenos Aires,Argentina,"Urdampilleta, Buenos Aires, Argentina"
Villa Lynch Pueyrredón,Buenos Aires,Argentina,"Villa Lynch Pueyrredón, Buenos Aires, Argentina"
Asamblea,Buenos Aires,Argentina,"Asamblea, Buenos Aires, Argentina"
Bragado,Buenos Aires,Argentina,"Bragado, Buenos Aires, Argentina"
Comodoro Py,Buenos Aires,Argentina,"Comodoro Py, Buenos Aires, Argentina"
Eduardo O'Brien,Buenos Aires,Argentina,"Eduardo O'Brien, Buenos Aires, Argentina"
Irala,Buenos Aires,Argentina,"Irala, Buenos Aires, Argentina"
La Limpia,Buenos Aires,Argentina,"La Limpia, Buenos Aires, Argentina"
Juan F. Salaberry,Buenos Aires,Argentina,"Juan F. Salaberry, Buenos Aires, Argentina"
Mechita,Buenos Aires,Argentina,"Mechita, Buenos Aires, Argentina"
Olascoaga,Buenos Aires,Argentina,"Olascoaga, Buenos Aires, Argentina"
Warnes,Buenos Aires,Argentina,"Warnes, Buenos Aires, Argentina"
Altamirano,Buenos Aires,Argentina,"Altamirano, Buenos Aires, Argentina"
Barrio El Mirador,Buenos Aires,Argentina,"Barrio El Mirador, Buenos Aires, Argentina"
Barrio Las Golondrinas,Buenos Aires,Argentina,"Barrio Las Golondrinas, Buenos Aires, Argentina"
Barrio Los Bosquecitos,Buenos Aires,Argentina,"Barrio Los Bosquecitos, Buenos Aires, Argentina"
Barrio Parque Las Acacias,Buenos Aires,Argentina,"Barrio Parque Las Acacias, Buenos Aires, Argentina"
Campos de Roca,Buenos Aires,Argentina,"Campos de Roca, Buenos Aires, Argentina"
Coronel Brandsen,Buenos Aires,Argentina,"Coronel Brandsen, Buenos Aires, Argentina"
Club de Campo Las Malvinas,Buenos Aires,Argentina,"Club de Campo Las Malvinas, Buenos Aires, Argentina"
Gómez,Buenos Aires,Argentina,"Gómez, Buenos Aires, Argentina"
Jeppener,Buenos Aires,Argentina,"Jeppener, Buenos Aires, Argentina"
Oliden,Buenos Aires,Argentina,"Oliden, Buenos Aires, Argentina"
Posada de los Lagos,Buenos Aires,Argentina,"Posada de los Lagos, Buenos Aires, Argentina"
Samborombón,Buenos Aires,Argentina,"Samborombón, Buenos Aires, Argentina"
Barrio Los Pioneros (Barrio Tavella),Buenos Aires,Argentina,"Barrio Los Pioneros (Barrio Tavella), Buenos Aires, Argentina"
Campana,Buenos Aires,Argentina,"Campana, Buenos Aires, Argentina"
Alejandro Petión,Buenos Aires,Argentina,"Alejandro Petión, Buenos Aires, Argentina"
Barrio El Taladro,Buenos Aires,Argentina,"Barrio El Taladro, Buenos Aires, Argentina"
Cañuelas,Buenos Aires,Argentina,"Cañuelas, Buenos Aires, Argentina"
Gobernador Udaondo,Buenos Aires,Argentina,"Gobernador Udaondo, Buenos Aires, Argentina"
Máximo Paz,Buenos Aires,Argentina,"Máximo Paz, Buenos Aires, Argentina"
Barrio San Esteban - Barrio Los Pozos,Buenos Aires,Argentina,"Barrio San Esteban - Barrio Los Pozos, Buenos Aires, Argentina"
Uribelarrea,Buenos Aires,Argentina,"Uribelarrea, Buenos Aires, Argentina"
Capitán Sarmiento,Buenos Aires,Argentina,"Capitán Sarmiento, Buenos Aires, Argentina"
La Luisa,Buenos Aires,Argentina,"La Luisa, Buenos Aires, Argentina"
Bellocq,Buenos Aires,Argentina,"Bellocq, Buenos Aires, Argentina"
Cadret,Buenos Aires,Argentina,"Cadret, Buenos Aires, Argentina"
Carlos Casares,Buenos Aires,Argentina,"Carlos Casares, Buenos Aires, Argentina"
Colonia Mauricio,Buenos Aires,Argentina,"Colonia Mauricio, Buenos Aires, Argentina"
Hortensia,Buenos Aires,Argentina,"Hortensia, Buenos Aires, Argentina"
La Sofía,Buenos Aires,Argentina,"La Sofía, Buenos Aires, Argentina"
Mauricio Hirsch,Buenos Aires,Argentina,"Mauricio Hirsch, Buenos Aires, Argentina"
Moctezuma,Buenos Aires,Argentina,"Moctezuma, Buenos Aires, Argentina"
Ordoqui,Buenos Aires,Argentina,"Ordoqui, Buenos Aires, Argentina"
Santo Tomás,Buenos Aires,Argentina,"Santo Tomás, Buenos Aires, Argentina"
Smith,Buenos Aires,Argentina,"Smith, Buenos Aires, Argentina"
Carlos Tejedor,Buenos Aires,Argentina,"Carlos Tejedor, Buenos Aires, Argentina"
Colonia Seré,Buenos Aires,Argentina,"Colonia Seré, Buenos Aires, Argentina"
Curarú,Buenos Aires,Argentina,"Curarú, Buenos Aires, Argentina"
Timote,Buenos Aires,Argentina,"Timote, Buenos Aires, Argentina"
Tres Algarrobos,Buenos Aires,Argentina,"Tres Algarrobos, Buenos Aires, Argentina"
Carmen de Areco,Buenos Aires,Argentina,"Carmen de Areco, Buenos Aires, Argentina"
Pueblo Gouin,Buenos Aires,Argentina,"Pueblo Gouin, Buenos Aires, Argentina"
Tres Sargentos,Buenos Aires,Argentina,"Tres Sargentos, Buenos Aires, Argentina"
Castelli,Buenos Aires,Argentina,"Castelli, Buenos Aires, Argentina"
Centro Guerrero,Buenos Aires,Argentina,"Centro Guerrero, Buenos Aires, Argentina"
Cerro de la Gloria,Buenos Aires,Argentina,"Cerro de la Gloria, Buenos Aires, Argentina"
Colón,Buenos Aires,Argentina,"Colón, Buenos Aires, Argentina"
Villa Manuel Pomar,Buenos Aires,Argentina,"Villa Manuel Pomar, Buenos Aires, Argentina"
Pearson,Buenos Aires,Argentina,"Pearson, Buenos Aires, Argentina"
Sarasa,Buenos Aires,Argentina,"Sarasa, Buenos Aires, Argentina"
Bajo Hondo,Buenos Aires,Argentina,"Bajo Hondo, Buenos Aires, Argentina"
Pehuen Co,Buenos Aires,Argentina,"Pehuen Co, Buenos Aires, Argentina"
Pago Chico,Buenos Aires,Argentina,"Pago Chico, Buenos Aires, Argentina"
Punta Alta,Buenos Aires,Argentina,"Punta Alta, Buenos Aires, Argentina"
Villa General Arias,Buenos Aires,Argentina,"Villa General Arias, Buenos Aires, Argentina"
Aparicio,Buenos Aires,Argentina,"Aparicio, Buenos Aires, Argentina"
Marisol,Buenos Aires,Argentina,"Marisol, Buenos Aires, Argentina"
Coronel Dorrego,Buenos Aires,Argentina,"Coronel Dorrego, Buenos Aires, Argentina"
